n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
10000,512,0.0,0.003,0,2633729,6.5843,6000,256,3855,1,2.05e-05,2.05e-05,2.28e-05,2.28e-05,2.498e-05,2.498e-05,2.3e-06,nan,0.0,0.00011463,1.65,2.75715,1,22.71
20000,512,0.0,0.001,0,2633729,3.2922,6000,256,3327,1,3.32e-06,3.32e-06,3.37e-06,3.37e-06,3.66e-06,3.66e-06,6e-08,nan,0.0,5.78e-06,2.05,3.42555,1,22.63
20000,512,0.0,0.003,0,2633729,3.2922,6000,256,5177,1,1.585e-05,1.585e-05,1.612e-05,1.612e-05,1.788e-05,1.788e-05,2.8e-07,nan,0.0,2.473e-05,1.8,3.0078,1,22.64
500,64,0.0,0.001,1,42497,2.1248,6000,256,4468,1,3.34e-06,3.34e-06,6.55e-06,6.55e-06,6.35e-06,6.35e-06,3.21e-06,nan,0.0,8.94e-06,1.8,3.0078,1,10.98
500,64,0.0,0.003,1,42497,2.1248,6000,256,4468,1,5.08e-06,5.08e-06,7.81e-06,7.81e-06,7.45e-06,7.45e-06,2.72e-06,nan,0.0,5.945e-05,1.9,3.1749,1,9.17
1000,64,0.0,0.001,1,42497,1.0624,6000,256,6000,1,3.19e-06,3.19e-06,4.5e-06,4.5e-06,4.37e-06,4.37e-06,1.31e-06,nan,0.0,4.5e-06,1.9,3.1749,1,8.34
1000,64,0.0,0.003,1,42497,1.0624,6000,256,5177,1,2.85e-06,2.85e-06,4.12e-06,4.12e-06,3.86e-06,3.86e-06,1.27e-06,nan,0.0,7.11e-06,1.95,3.25845,1,8.32
2000,64,0.0,0.001,1,42497,0.5312,6000,256,5177,1,4.58e-06,4.58e-06,5.23e-06,5.23e-06,5.19e-06,5.19e-06,6.5e-07,nan,0.0,6.74e-06,1.8,3.0078,1,8.18
2000,64,0.0,0.003,1,42497,0.5312,6000,256,4468,1,2.09e-06,2.09e-06,2.76e-06,2.76e-06,2.6e-06,2.6e-06,6.7e-07,nan,0.0,6.24e-06,2.05,3.42555,1,8.19
5000,64,0.0,0.001,1,42497,0.2125,6000,256,6000,1,4.77e-06,4.77e-06,5.09e-06,5.09e-06,4.96e-06,4.96e-06,3.1e-07,nan,0.0,5.09e-06,1.85,3.09135,1,8.21
